;city;IVS (2010);IDHM;populacao_estimada_2020;city_ibge_code;cases_media_apr;deaths_media_apr;cases_media_ago;deaths_media_ago;cases_media_dec;deaths_media_dec
225;Ibirarema;0.239;0.708;7516.584509440001;3519501;;;9.87064647432858;0.8583170847242244;33.903524846606864;0.0
226;Ibitinga;0.179;0.747;58632.12460999;3519600;1.7055496566972699;0.0;39.667783950926825;0.7702482320568316;14.249592293051384;0.220070923444809
227;Ibiúna;0.308;0.71;76479.52421760002;3519709;0.3813656918638966;0.0;4.597477649382274;0.2108934701551502;5.651945000158025;0.1265360820930901
228;Icém;0.287;0.72;8041.275612500001;3519808;;;22.063583365170924;0.40115606118492586;14.040462141472409;0.0
229;Iepê;0.358;0.736;7918.84188396;3519907;1.0523424328263082;1.0523424328263082;10.591317388445427;0.0;18.33112624923247;0.0
230;Igaraçu do Tietê;0.321;0.727;24158.56381344;3520004;2.0696594543498392;0.0;16.957854884027714;0.4005792492290012;13.352641640966704;0.0
231;Igarapava;0.318;0.768;29486.085153840006;3520103;0.42392877639682564;0.0;18.598165674183317;0.10940097455401951;5.141845804038917;0.21880194910803902
232;Igaratá;0.244;0.711;9277.932573130001;3520202;2.9939620232017563;0.0;43.11305313410529;0.34768591237181684;33.725533500066234;0.0
233;Iguape;0.258;0.726;29440.110265239997;3520301;2.0902931743132815;0.0;19.83249935144819;0.3287154588637822;7.889171012730773;0.21914363924252145
234;Ilha Comprida;0.252;0.725;10303.66514975;3520426;7.376016096742429;0.3882113735127595;6.574547454651571;0.3130736883167415;26.92433719523977;2.504589506533932
235;Ilha Solteira;0.131;0.812;25781.65913747;3520442;0.8311556410823858;0.0;12.512020403390753;0.25024040806781506;19.76899223735739;0.12512020403390753
236;Ilhabela;0.223;0.756;33627.14394624;3520400;0.946205299773594;0.0;64.17626544731685;0.19185729580662733;82.69049449265638;0.28778594370994104
237;Indaiatuba;0.154;0.788;245063.90682683996;3520509;0.3400473550444781;0.05440757680711649;16.84879797897801;0.6186668007905988;65.26276592169764;0.46070931973768
238;Indiana;0.272;0.761;4774.47878985;3520608;;;14.8639767939389;0.0;16.215247411569706;0.6756353088154043
239;Indiaporã;0.202;0.751;3849.9705234000003;3520707;;;9.216660426897318;0.0;7.5409039856432605;0.0
240;Inúbia Paulista;0.2;0.759;3896.7500752200012;3520806;;;4.966918158995529;0.0;17.384213556484355;0.0
241;Ipaussu;0.263;0.727;14508.395930929999;3520905;;;13.340440116067857;0.22234066860113091;10.005330087050892;0.0
242;Iperó;0.271;0.719;34529.30655195;3521002;;;6.9132485200712495;0.09342227729826012;4.857958419509527;0.09342227729826012
243;Ipeúna;0.148;0.753;7588.4684990000005;3521101;;;16.153542072085276;0.42509321242329673;10.627330310582419;0.0
244;Ipiguá;0.184;0.73;5249.02318252;3521150;;;45.476971451429726;1.8436610047876918;41.78964944185434;1.2291073365251277
245;Iporanga;0.351;0.703;4401.0492288;3521200;;;25.65370663605053;0.7329630467443008;10.261482654420211;0.0
246;Ipuã;0.251;0.749;15888.292378560001;3521309;;;38.77880753815193;1.218182435753464;16.64849328863067;0.20303040595891064
247;Iracemápolis;0.179;0.776;23770.029797999996;3521408;0.0;0.0;40.16985749667673;0.542835912117253;38.67705873835428;0.4071269340879398
248;Irapuã;0.226;0.713;7742.116750679999;3521507;;;16.666276448644755;0.0;9.999765869186854;0.41665691121611886
249;Irapuru;0.298;0.712;7330.239084;3521606;;;3.080478672322978;0.0;10.121572780489785;0.4400683817604254
250;Itaberá;0.346;0.693;17589.64537244;3521705;;;9.353009998145103;0.0;23.657613524719963;0.3667847058096118
251;Itaí;0.363;0.713;26529.89286402;3521804;;;3.5261502025756415;0.0;7.052300405151283;0.12159138629571177
